projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
-0.080, 0.231
-0.169, 0.685
-0.368, 0.176
0.073, 0.822
-0.437, -0.244
-0.223, -0.851
0.249, -0.008
-0.097, -0.386
-0.141, 0.297
-0.209, 0.519
-0.379, 0.077
0.004, 0.264
-0.150, -0.580
-0.063, 0.114
0.180, -0.137
0.086, 0.028
0.274, 0.403
0.264, 0.442
-0.345, 0.310
-0.295, 0.639
-0.288, 0.132
-0.151, 0.484
0.107, 0.791
-0.392, 0.645
-0.591, -0.351
-0.183, -0.560
-0.319, -0.489
-0.197, -0.016
-0.119, 0.222
-0.098, 0.350
-0.346, 0.126
-0.555, -0.692
-0.518, -0.257
-0.453, 0.836
-0.558, 0.327
-0.764, 0.042
-1.042, -0.169
-0.843, 0.424
-0.570, 0.483
-0.821, -0.315
-0.586, 0.175
-0.789, 0.599
-1.055, 1.003
-0.872, 1.059
-1.041, 1.225
-0.903, 1.676
-0.799, 1.335
-1.267, 0.589
-1.194, 0.821
-1.407, 0.749
-1.027, 1.081
-1.291, 0.574
-0.658, 0.876
-0.932, 0.487
-1.051, 1.105
-0.955, 1.255
-1.396, 0.650
-1.558, 0.635
-1.383, 0.814
-1.473, 0.385
-1.654, 0.701
-1.189, 1.067
-1.448, 0.877
-1.254, 0.432
-1.690, 0.344
-1.246, 0.898
-1.424, 0.352
-1.173, 0.683
-1.403, 1.251
-1.368, 1.304
-0.797, 1.207
-0.910, 1.162
-0.883, 0.314
-0.517, 0.619
-0.614, 0.526
-0.520, 0.678
-0.782, 0.483
-0.850, 0.615
-0.737, 0.786
-0.869, 1.364
-0.480, 1.363
-1.124, 0.867
-1.036, 0.523
-1.153, 0.458
-0.873, 0.876
-1.118, 0.692
-1.003, 0.971
-1.072, 0.974
-1.019, 1.120
-1.063, 0.976
-1.459, 1.508
-1.149, 0.967
-1.049, 0.804
-0.896, 0.099
-1.104, 0.189
-1.195, 0.358
-1.163, 0.270
-1.362, 0.746
-1.408, 1.356
-1.028, 1.205
-1.319, 0.898
-1.193, 0.671
-1.366, 0.972
-1.183, 1.344
-1.356, 0.397
-0.840, 0.174
-1.258, 0.193
-1.236, -0.290
-1.098, 0.346
-1.195, 1.015
-1.013, 0.523
-0.960, 1.432
-1.050, 1.283
-0.802, 0.631
-0.778, 0.343
-0.982, 0.073
-0.837, 0.255
-1.114, 0.809
-1.081, 0.063
-1.124, 0.730
-1.047, 0.952
-1.227, 0.855
-0.909, 1.234
-0.649, 1.184
-1.119, 0.478
-0.654, 0.900
-0.828, 0.057
-0.794, 0.939
-0.962, 1.620
-1.223, 1.779
-1.124, 0.928
-1.062, 0.519
-1.126, 1.212
-0.983, 1.096
-0.665, 0.619
-0.957, -0.289
-0.957, 0.281
-0.558, 0.836
-0.738, 0.486
-0.778, 0.925
-0.830, 0.425
-1.109, -0.025
-1.204, 0.103
-1.068, 0.707
-1.179, 0.765
-1.348, 0.159
-1.092, 1.336
-1.117, 1.341
-0.982, 1.026
-1.286, 0.353
-1.185, 0.395
-1.161, -0.222
-1.137, 0.134
-1.440, 0.798
-1.145, 0.517
-1.349, 0.952
-0.927, 0.822
-0.938, 0.086
-0.842, 1.017
-0.846, 0.858
-1.108, 0.490
-0.951, 0.901
-0.975, 0.943
-1.330, 0.818
-0.970, 0.754
-1.029, 0.929
-1.059, 0.015
-1.177, 0.429
-0.822, 0.202
-0.851, 0.434
-0.603, 0.754
-0.307, 0.816
-0.324, 0.691
0.043, 1.055
-0.208, 1.156
-0.342, 1.166
-0.591, 0.642
-0.393, 0.315
-0.368, 0.229
-0.132, -0.140
-0.182, 0.588
-0.427, 0.980
-0.558, 0.879
-0.718, 0.800
-0.685, 0.122
-0.126, 0.571
-0.051, 0.440
0.108, -0.219
0.246, -0.374
-0.162, -0.416
0.059, 0.341
-0.049, -0.315
0.124, 0.612
0.427, 0.576
0.225, 0.459
-0.067, 0.163
0.232, 0.688
0.145, 0.710
-0.360, 0.133
-0.710, 0.176
0.009, 0.319
-0.233, 0.212
-0.049, -0.195
-0.273, -0.504
0.120, 0.221
-0.390, 0.157
0.065, 0.194
-0.340, 0.228
-0.003, 1.002
0.109, 0.633
-0.467, -0.129
0.036, 0.828
0.076, 0.122
-0.024, 0.292
0.139, -0.405
-0.057, -0.390
-0.284, -0.357
-0.248, -0.415
-0.417, -0.261
-0.058, -0.415
-0.392, 0.449
-0.041, 1.439
-0.540, 1.332
-0.863, 0.687
-0.711, 0.581
-0.508, 0.013
-0.931, 0.627
-0.648, 0.728
0.210, 0.426
-0.158, -0.673
-0.376, -0.900
-0.397, -1.190
-0.267, -0.193
-0.215, 0.372
-0.305, -0.191
-0.412, -0.598
-0.452, 0.600
-0.013, 1.323
