projection on eigenvector 1 (nm), projection on eigenvector 2 (nm)
0.217, 0.342
0.105, 1.035
0.347, 0.447
0.035, -0.430
0.218, 0.203
-0.078, 0.482
0.084, 0.296
0.278, 0.120
0.303, 0.496
0.169, 0.740
-0.025, 0.491
0.044, 0.565
-0.041, 0.017
-0.097, 0.089
0.176, 0.152
0.263, 0.528
0.187, 0.402
0.076, 0.438
0.237, 0.717
0.399, 0.193
0.310, 0.338
0.432, -0.255
0.321, 0.256
0.192, 0.406
0.256, 0.648
0.284, 1.035
0.051, 0.261
0.370, 0.355
0.163, 0.584
0.271, 0.405
0.196, 0.471
0.269, 0.334
0.387, 0.381
0.381, 0.646
0.305, 0.553
0.343, 0.461
0.255, 0.737
0.466, 0.303
0.380, 0.455
0.233, 0.685
0.059, 0.206
